node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 0,
1, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 1,
2, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 2,
3, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 3,
4, 'europe-west3-c', 1, -1, 'FKA.pem', 0, -1,
5, 'europe-west3-c', 0, 1,'FKA.pem', -1, 4,
6, 'europe-west3-c', 0, 1,'FKA.pem', -1, 5,
7, 'europe-west3-c', 0, 1,'FKA.pem', -1, 6,
8, 'europe-west3-c', 0, 1,'FKA.pem', -1, 7,
9, 'europe-west3-c', 1, -1, 'FKA.pem', 1, -1,
10, 'europe-west3-c', 0, 2,'FKA.pem', -1, 8,
11, 'europe-west3-c', 0, 2,'FKA.pem', -1, 9,
12, 'europe-west3-c', 0, 2,'FKA.pem', -1, 10,
13, 'europe-west3-c', 0, 2,'FKA.pem', -1, 11,
14, 'europe-west3-c', 1, -1, 'FKA.pem', 2, -1,
