node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'us-west1-b', 0, 0, 'FKA.pem', -1, 0,
1, 'us-west1-b', 0, 0, 'FKA.pem', -1, 1,
2, 'us-west1-b', 0, 0, 'FKA.pem', -1, 2,
3, 'us-west1-b', 0, 0, 'FKA.pem', -1, 3,
4, 'us-west1-b', 0, 0, 'FKA.pem', -1, 4,
5, 'us-west1-b', 0, 0, 'FKA.pem', -1, 5,
6, 'us-west1-b', 0, 0, 'FKA.pem', -1, 6,
7, 'us-west1-b', 0, 0, 'FKA.pem', -1, 7,
8, 'us-west1-b', 0, 0, 'FKA.pem', -1, 8,
9, 'us-west1-b', 0, 0, 'FKA.pem', -1, 9,
10, 'us-west1-b', 0, 1, 'FKA.pem', -1, 10,
11, 'us-west1-b', 0, 1, 'FKA.pem', -1, 11,
12, 'us-west1-b', 0, 1, 'FKA.pem', -1, 12,
13, 'us-west1-b', 0, 1, 'FKA.pem', -1, 13,
14, 'us-west1-b', 0, 1, 'FKA.pem', -1, 14,
15, 'us-west1-b', 0, 1, 'FKA.pem', -1, 15,
16, 'us-west1-b', 0, 1, 'FKA.pem', -1, 16,
17, 'us-west1-b', 0, 1, 'FKA.pem', -1, 17,
18, 'us-west1-b', 0, 1, 'FKA.pem', -1, 18,
19, 'us-west1-b', 0, 1, 'FKA.pem', -1, 19,
20, 'us-west1-b', 1, -1, 'FKA.pem', 0, -1,
21, 'us-west1-b', 1, -1, 'FKA.pem', 1, -1,

